_id,Client,Restaurant,State,Date,Pricing,Quantity,Item
113,126,18,accepted,2020-01-15T00:00:00Z,90.49,2,"{""Name"":""Nigiri"",""Price"":137.94652528028587}"
114,341,46,delivered,2018-03-22T00:00:00Z,88.20,8,"{""Name"":""Pizza Pepperoni"",""Price"":27.570260287572612}"
115,24,26,in-process,2015-06-12T00:00:00Z,72.11,2,"{""Name"":""Pizza Pepperoni"",""Price"":7.302596513420394}"
116,355,5,delivered,2018-03-22T00:00:00Z,132.55,5,"{""Name"":""Miso Soup"",""Price"":80.517963686052}"
117,207,39,delivered,2020-01-15T00:00:00Z,127.82,1,"{""Name"":""Pizza Pepperoni"",""Price"":19.547755503863684}"
118,322,34,in-process,2018-03-22T00:00:00Z,77.02,9,"{""Name"":""Pizza Margarita"",""Price"":23.86493645503097}"
119,110,31,in-process,2015-06-12T00:00:00Z,96.68,7,"{""Name"":""Miso Soup"",""Price"":35.384944016431305}"
120,87,35,in-process,2015-06-12T00:00:00Z,96.91,4,"{""Name"":""Pizza Margarita"",""Price"":89.97280581433736}"
121,328,46,accepted,2015-06-12T00:00:00Z,32.28,10,"{""Name"":""Butter Chicken"",""Price"":124.55561236233451}"
122,359,35,in-process,2018-03-22T00:00:00Z,43.62,4,"{""Name"":""Pizza Pepperoni"",""Price"":79.9612943742219}"
123,240,18,delivered,2015-06-12T00:00:00Z,42.33,8,"{""Name"":""Miso Soup"",""Price"":24.222134436797685}"
124,81,6,in-process,2018-03-22T00:00:00Z,22.59,1,"{""Name"":""Miso Soup"",""Price"":101.68274755655199}"
125,80,17,accepted,2020-01-15T00:00:00Z,0.19,8,"{""Name"":""Miso Soup"",""Price"":112.4713095206158}"
126,311,11,in-process,2015-06-12T00:00:00Z,120.83,5,"{""Name"":""Butter Chicken"",""Price"":47.018358613682764}"
127,309,20,accepted,2018-03-22T00:00:00Z,128.66,3,"{""Name"":""Miso Soup"",""Price"":80.73929420702828}"
128,121,47,in-process,2015-06-12T00:00:00Z,106.18,1,"{""Name"":""Pizza Margarita"",""Price"":145.01915968565115}"
129,302,25,delivered,2018-03-22T00:00:00Z,126.97,3,"{""Name"":""Butter Chicken"",""Price"":103.53338303265738}"
130,371,25,in-process,2018-03-22T00:00:00Z,110.52,6,"{""Name"":""Pizza Margarita"",""Price"":35.55365189623288}"
131,394,37,delivered,2020-01-15T00:00:00Z,52.59,10,"{""Name"":""Miso Soup"",""Price"":59.03864457898211}"
132,27,12,in-process,2015-06-12T00:00:00Z,43.64,8,"{""Name"":""Butter Chicken"",""Price"":63.72447645261558}"
133,242,27,in-process,2018-03-22T00:00:00Z,88.42,1,"{""Name"":""Pizza Margarita"",""Price"":49.412701598015545}"
134,220,28,in-process,2015-06-12T00:00:00Z,129.38,8,"{""Name"":""Pizza Pepperoni"",""Price"":148.2660940396554}"
135,13,23,in-process,2020-01-15T00:00:00Z,7.03,8,"{""Name"":""Miso Soup"",""Price"":93.57047457745094}"
136,68,26,accepted,2018-03-22T00:00:00Z,78.26,4,"{""Name"":""Pizza Pepperoni"",""Price"":33.59423218254263}"
137,251,26,accepted,2018-03-22T00:00:00Z,76.19,3,"{""Name"":""Nigiri"",""Price"":132.6543466819765}"
138,226,3,delivered,2015-06-12T00:00:00Z,33.99,4,"{""Name"":""Pizza Margarita"",""Price"":94.56140978514459}"
139,310,18,delivered,2015-06-12T00:00:00Z,47.10,1,"{""Name"":""Miso Soup"",""Price"":33.62584290473152}"
140,68,45,delivered,2015-06-12T00:00:00Z,128.28,5,"{""Name"":""Nigiri"",""Price"":26.35878482124428}"
141,381,47,delivered,2018-03-22T00:00:00Z,121.61,7,"{""Name"":""Nigiri"",""Price"":54.6484729177481}"
142,6,13,delivered,2020-01-15T00:00:00Z,8.56,4,"{""Name"":""Pizza Margarita"",""Price"":102.17902734983929}"
143,253,37,in-process,2015-06-12T00:00:00Z,121.96,7,"{""Name"":""Nigiri"",""Price"":60.47133665454322}"
144,39,32,in-process,2020-01-15T00:00:00Z,55.02,5,"{""Name"":""Butter Chicken"",""Price"":69.16072409141043}"
145,305,9,accepted,2020-01-15T00:00:00Z,12.69,4,"{""Name"":""Pizza Pepperoni"",""Price"":111.47057975478103}"
146,365,14,delivered,2018-03-22T00:00:00Z,126.24,8,"{""Name"":""Nigiri"",""Price"":29.17232423197318}"
147,174,14,in-process,2018-03-22T00:00:00Z,114.19,10,"{""Name"":""Nigiri"",""Price"":27.79254068677713}"
148,197,7,in-process,2020-01-15T00:00:00Z,105.57,5,"{""Name"":""Nigiri"",""Price"":74.78001258053845}"
149,271,38,delivered,2018-03-22T00:00:00Z,1.42,9,"{""Name"":""Pizza Pepperoni"",""Price"":75.45692680946952}"
150,78,19,accepted,2018-03-22T00:00:00Z,7.45,1,"{""Name"":""Miso Soup"",""Price"":36.80657028658082}"
151,24,15,delivered,2020-01-15T00:00:00Z,39.87,8,"{""Name"":""Butter Chicken"",""Price"":58.535598130120995}"
152,60,8,in-process,2020-01-15T00:00:00Z,101.25,7,"{""Name"":""Butter Chicken"",""Price"":52.77058344333516}"
153,8,35,delivered,2015-06-12T00:00:00Z,143.90,6,"{""Name"":""Pizza Margarita"",""Price"":102.00643625865169}"
154,80,7,in-process,2018-03-22T00:00:00Z,148.67,9,"{""Name"":""Pizza Pepperoni"",""Price"":128.02214192968884}"
155,221,43,delivered,2018-03-22T00:00:00Z,91.52,2,"{""Name"":""Pizza Pepperoni"",""Price"":135.86163276850263}"
156,108,10,in-process,2018-03-22T00:00:00Z,65.21,1,"{""Name"":""Miso Soup"",""Price"":62.6350398383041}"
157,365,25,delivered,2015-06-12T00:00:00Z,135.43,6,"{""Name"":""Nigiri"",""Price"":24.170556154214996}"
158,77,11,in-process,2015-06-12T00:00:00Z,63.51,8,"{""Name"":""Miso Soup"",""Price"":90.14876424643562}"
159,249,43,accepted,2018-03-22T00:00:00Z,74.05,6,"{""Name"":""Nigiri"",""Price"":62.683840492812095}"
160,1,30,in-process,2020-01-15T00:00:00Z,12.88,1,"{""Name"":""Nigiri"",""Price"":18.105818691234756}"
161,44,46,delivered,2020-01-15T00:00:00Z,105.60,5,"{""Name"":""Butter Chicken"",""Price"":130.43529949433426}"
162,95,28,accepted,2020-01-15T00:00:00Z,36.39,1,"{""Name"":""Pizza Margarita"",""Price"":76.18251517633382}"
163,124,12,delivered,2020-01-15T00:00:00Z,121.95,10,"{""Name"":""Nigiri"",""Price"":140.15933774106165}"
164,192,19,delivered,2020-01-15T00:00:00Z,2.41,5,"{""Name"":""Nigiri"",""Price"":116.0509169255188}"
165,33,30,delivered,2018-03-22T00:00:00Z,123.50,4,"{""Name"":""Miso Soup"",""Price"":43.141436760062604}"
166,131,21,in-process,2020-01-15T00:00:00Z,17.92,2,"{""Name"":""Pizza Margarita"",""Price"":135.13342865731082}"
167,260,26,delivered,2018-03-22T00:00:00Z,149.43,2,"{""Name"":""Pizza Pepperoni"",""Price"":149.40801324509383}"
168,234,48,accepted,2015-06-12T00:00:00Z,120.79,7,"{""Name"":""Miso Soup"",""Price"":73.07090617290432}"
169,354,29,delivered,2018-03-22T00:00:00Z,51.57,3,"{""Name"":""Miso Soup"",""Price"":103.0382827245583}"
170,173,20,accepted,2018-03-22T00:00:00Z,103.77,9,"{""Name"":""Pizza Pepperoni"",""Price"":114.52929991300292}"
171,146,7,accepted,2015-06-12T00:00:00Z,24.01,2,"{""Name"":""Butter Chicken"",""Price"":104.59286071252473}"
172,118,42,accepted,2018-03-22T00:00:00Z,41.64,7,"{""Name"":""Butter Chicken"",""Price"":56.518572091832354}"
173,152,5,accepted,2018-03-22T00:00:00Z,97.74,1,"{""Name"":""Butter Chicken"",""Price"":73.53160630354729}"
174,336,43,in-process,2015-06-12T00:00:00Z,114.32,3,"{""Name"":""Miso Soup"",""Price"":32.12041172625891}"
175,115,49,delivered,2018-03-22T00:00:00Z,93.96,4,"{""Name"":""Pizza Pepperoni"",""Price"":82.1661441425492}"
176,30,12,in-process,2018-03-22T00:00:00Z,139.64,3,"{""Name"":""Pizza Margarita"",""Price"":114.44293501885764}"
177,373,22,in-process,2015-06-12T00:00:00Z,72.08,5,"{""Name"":""Miso Soup"",""Price"":115.15587763599635}"
178,205,42,accepted,2020-01-15T00:00:00Z,146.45,9,"{""Name"":""Nigiri"",""Price"":3.056563222441071}"
179,28,26,delivered,2018-03-22T00:00:00Z,26.25,8,"{""Name"":""Butter Chicken"",""Price"":44.42561417192942}"
180,374,9,delivered,2018-03-22T00:00:00Z,80.69,1,"{""Name"":""Pizza Margarita"",""Price"":44.23786175572398}"
181,262,35,in-process,2018-03-22T00:00:00Z,115.40,1,"{""Name"":""Miso Soup"",""Price"":71.79153531363909}"
182,175,39,accepted,2020-01-15T00:00:00Z,36.02,1,"{""Name"":""Pizza Margarita"",""Price"":73.94158432002845}"
183,397,6,delivered,2015-06-12T00:00:00Z,64.48,1,"{""Name"":""Miso Soup"",""Price"":120.23268375914765}"
184,371,13,accepted,2015-06-12T00:00:00Z,148.34,8,"{""Name"":""Butter Chicken"",""Price"":50.32548058396607}"
185,218,43,delivered,2018-03-22T00:00:00Z,142.15,5,"{""Name"":""Pizza Margarita"",""Price"":29.191186294101552}"
186,201,37,accepted,2018-03-22T00:00:00Z,7.18,2,"{""Name"":""Nigiri"",""Price"":2.762454175209336}"
187,169,27,in-process,2018-03-22T00:00:00Z,79.82,4,"{""Name"":""Pizza Pepperoni"",""Price"":41.631169315005515}"
188,31,27,accepted,2015-06-12T00:00:00Z,15.67,3,"{""Name"":""Pizza Pepperoni"",""Price"":23.66063525691677}"
189,185,31,in-process,2020-01-15T00:00:00Z,90.58,3,"{""Name"":""Miso Soup"",""Price"":13.14451503050192}"
190,293,34,in-process,2020-01-15T00:00:00Z,30.48,3,"{""Name"":""Pizza Pepperoni"",""Price"":119.08046795298328}"
191,399,17,delivered,2015-06-12T00:00:00Z,56.12,10,"{""Name"":""Nigiri"",""Price"":46.29802180298962}"
192,270,31,in-process,2018-03-22T00:00:00Z,94.15,10,"{""Name"":""Pizza Margarita"",""Price"":87.40263335429266}"
193,255,42,accepted,2020-01-15T00:00:00Z,2.90,6,"{""Name"":""Nigiri"",""Price"":49.31924159769024}"
194,195,40,delivered,2018-03-22T00:00:00Z,149.77,4,"{""Name"":""Miso Soup"",""Price"":32.56864775352438}"
195,236,18,delivered,2020-01-15T00:00:00Z,48.80,4,"{""Name"":""Pizza Pepperoni"",""Price"":109.11148438926719}"
196,8,11,delivered,2020-01-15T00:00:00Z,83.36,6,"{""Name"":""Butter Chicken"",""Price"":51.05576401581392}"
197,38,47,accepted,2015-06-12T00:00:00Z,90.04,4,"{""Name"":""Pizza Pepperoni"",""Price"":80.44281139202957}"
198,244,45,accepted,2018-03-22T00:00:00Z,126.08,1,"{""Name"":""Nigiri"",""Price"":83.66033640962696}"
199,101,28,in-process,2020-01-15T00:00:00Z,43.89,8,"{""Name"":""Pizza Margarita"",""Price"":30.426443765575442}"
200,199,37,in-process,2018-03-22T00:00:00Z,91.35,6,"{""Name"":""Pizza Pepperoni"",""Price"":129.4431712832643}"
201,65,24,delivered,2018-03-22T00:00:00Z,48.90,8,"{""Name"":""Pizza Pepperoni"",""Price"":54.612749789015936}"
202,39,30,in-process,2018-03-22T00:00:00Z,24.43,10,"{""Name"":""Pizza Margarita"",""Price"":147.11904838176739}"
203,312,16,delivered,2020-01-15T00:00:00Z,36.38,9,"{""Name"":""Pizza Pepperoni"",""Price"":55.927171088884485}"
204,389,46,accepted,2018-03-22T00:00:00Z,56.99,3,"{""Name"":""Pizza Margarita"",""Price"":104.03806382348239}"
205,295,15,delivered,2018-03-22T00:00:00Z,66.97,9,"{""Name"":""Pizza Margarita"",""Price"":58.28338022166298}"
206,274,39,delivered,2020-01-15T00:00:00Z,60.08,7,"{""Name"":""Pizza Pepperoni"",""Price"":14.319174416714858}"
207,19,20,delivered,2015-06-12T00:00:00Z,89.53,10,"{""Name"":""Miso Soup"",""Price"":61.70814812809633}"
208,74,25,delivered,2015-06-12T00:00:00Z,60.44,6,"{""Name"":""Butter Chicken"",""Price"":87.67738543441338}"
209,343,26,in-process,2020-01-15T00:00:00Z,92.50,8,"{""Name"":""Pizza Pepperoni"",""Price"":89.97092086573494}"
210,291,8,in-process,2018-03-22T00:00:00Z,149.49,2,"{""Name"":""Pizza Margarita"",""Price"":131.2982573140771}"
211,161,1,accepted,2018-03-22T00:00:00Z,130.60,5,"{""Name"":""Pizza Pepperoni"",""Price"":135.16125724910387}"
212,263,49,in-process,2020-01-15T00:00:00Z,124.16,9,"{""Name"":""Pizza Margarita"",""Price"":78.15099203522792}"
213,262,46,accepted,2020-01-15T00:00:00Z,134.87,4,"{""Name"":""Butter Chicken"",""Price"":31.25442180840042}"
214,156,22,delivered,2015-06-12T00:00:00Z,141.12,6,"{""Name"":""Pizza Pepperoni"",""Price"":84.78545224494393}"
215,44,46,in-process,2018-03-22T00:00:00Z,38.60,6,"{""Name"":""Pizza Pepperoni"",""Price"":30.66843336413315}"
216,121,39,in-process,2015-06-12T00:00:00Z,0.77,6,"{""Name"":""Nigiri"",""Price"":16.754661971832622}"
217,228,40,delivered,2020-01-15T00:00:00Z,56.25,3,"{""Name"":""Miso Soup"",""Price"":76.92509177521758}"
218,370,41,delivered,2018-03-22T00:00:00Z,121.47,6,"{""Name"":""Miso Soup"",""Price"":143.52396141213208}"
219,364,50,delivered,2020-01-15T00:00:00Z,125.37,9,"{""Name"":""Pizza Margarita"",""Price"":123.41709701107324}"
