_id,Name,Location,Dob,Category,Pricing,Photo,Menu
30,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-112.23182835598587,-61.18317622059256]}",2015-06-12T00:00:00Z,Mexican,1,1,"{""Items"":[{""_id"":""18"",""Price"":142.26011147802535},{""_id"":""134"",""Price"":20.262952699649205},{""_id"":""189"",""Price"":23.476547408850927},{""_id"":""168"",""Price"":26.35219144001872},{""_id"":""184"",""Price"":129.89909556041988},{""_id"":""96"",""Price"":17.053063848623097}]}"
31,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[105.86302342958396,-15.091299395231573]}",2018-03-22T00:00:00Z,American,4,1,"{""Items"":[{""_id"":""287"",""Price"":33.35307052619536},{""_id"":""259"",""Price"":38.40410610733143}]}"
32,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[139.07479627390222,58.214041048406784]}",2015-06-12T00:00:00Z,American,3,1,"{""Items"":[{""_id"":""128"",""Price"":25.23605380358781},{""_id"":""150"",""Price"":101.15694195830926},{""_id"":""210"",""Price"":18.33579118481736},{""_id"":""232"",""Price"":28.591663835090504},{""_id"":""123"",""Price"":95.09069706986898},{""_id"":""129"",""Price"":23.42677759122783}]}"
33,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-93.63068280413,28.616571068127087]}",2018-03-22T00:00:00Z,Japanese,1,1,"{""Items"":[{""_id"":""200"",""Price"":58.11553116146419},{""_id"":""20"",""Price"":1.9056006787067135},{""_id"":""5"",""Price"":126.68265307250098},{""_id"":""273"",""Price"":144.3849646595284},{""_id"":""15"",""Price"":21.45580675461098}]}"
34,Giorno,"{""LocType"":""Point"",""Coordinates"":[-38.95330332216946,-71.42147994210566]}",2015-06-12T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""39"",""Price"":137.4683856176605}]}"
35,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-143.50240785575005,26.331693540612363]}",2018-03-22T00:00:00Z,American,2,1,"{""Items"":[{""_id"":""129"",""Price"":32.36035811957091},{""_id"":""245"",""Price"":38.122501804318304},{""_id"":""71"",""Price"":64.37854815862383},{""_id"":""40"",""Price"":89.11208110326317},{""_id"":""47"",""Price"":113.71654527499258}]}"
36,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[155.99040202599969,86.55212145683953]}",2020-01-15T00:00:00Z,Mexican,4,1,"{""Items"":[]}"
37,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-136.9671930862157,81.45917790779845]}",2015-06-12T00:00:00Z,Japanese,1,1,"{""Items"":[]}"
38,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-38.642697759409316,75.63484424339748]}",2015-06-12T00:00:00Z,American,3,1,"{""Items"":[{""_id"":""189"",""Price"":53.57920741347584},{""_id"":""155"",""Price"":127.81023608717126},{""_id"":""36"",""Price"":114.88371366138743},{""_id"":""115"",""Price"":105.6775620902308},{""_id"":""200"",""Price"":59.958385220860364},{""_id"":""12"",""Price"":29.42597478222951},{""_id"":""102"",""Price"":27.206774284290475},{""_id"":""294"",""Price"":135.7358442339074},{""_id"":""114"",""Price"":71.35274488763756}]}"
39,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[170.31405939233207,-13.969106964572873]}",2020-01-15T00:00:00Z,Mexican,1,1,"{""Items"":[{""_id"":""65"",""Price"":79.05720971621813},{""_id"":""139"",""Price"":96.95372718355303},{""_id"":""139"",""Price"":58.457736654807995},{""_id"":""48"",""Price"":74.31526126572166},{""_id"":""67"",""Price"":49.117163471940124}]}"
40,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-125.0139993098654,-45.41866880174598]}",2020-01-15T00:00:00Z,American,3,1,"{""Items"":[{""_id"":""140"",""Price"":11.418712663222196},{""_id"":""144"",""Price"":134.29635861985184},{""_id"":""81"",""Price"":128.51837691090037},{""_id"":""149"",""Price"":103.97024430523666},{""_id"":""192"",""Price"":61.593027955789964},{""_id"":""42"",""Price"":46.35281986372358},{""_id"":""20"",""Price"":132.98518628842106},{""_id"":""193"",""Price"":89.3435441595573}]}"
41,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[27.744939151223008,33.35604842116719]}",2020-01-15T00:00:00Z,American,1,1,"{""Items"":[{""_id"":""66"",""Price"":69.67380871556075},{""_id"":""94"",""Price"":5.3771945072898815}]}"
42,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[12.174323905243057,56.645919934646514]}",2020-01-15T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""243"",""Price"":41.00654665720244},{""_id"":""219"",""Price"":100.91216393170092},{""_id"":""54"",""Price"":118.9013155761869},{""_id"":""197"",""Price"":108.83748546956858},{""_id"":""208"",""Price"":54.230029642105556},{""_id"":""186"",""Price"":125.26520187186539},{""_id"":""262"",""Price"":6.289010862206626},{""_id"":""31"",""Price"":53.0843835039564},{""_id"":""15"",""Price"":92.51372529109992}]}"
43,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[89.41040257014106,-58.505408583856095]}",2020-01-15T00:00:00Z,American,1,1,"{""Items"":[]}"
44,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[113.2464054062832,81.86139055721941]}",2018-03-22T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""107"",""Price"":126.33021725650933},{""_id"":""212"",""Price"":2.1731943901558917},{""_id"":""94"",""Price"":99.26009431550486},{""_id"":""197"",""Price"":107.31440378223225},{""_id"":""300"",""Price"":83.6606779322498},{""_id"":""198"",""Price"":120.26454166410815},{""_id"":""41"",""Price"":25.524891198731726},{""_id"":""197"",""Price"":18.387649368192406},{""_id"":""256"",""Price"":116.5739174173183}]}"
45,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[56.983734564406944,-44.42467616466271]}",2015-06-12T00:00:00Z,Japanese,2,1,"{""Items"":[{""_id"":""197"",""Price"":14.943912997182682},{""_id"":""281"",""Price"":133.1068711415324},{""_id"":""266"",""Price"":93.75724845718997},{""_id"":""97"",""Price"":63.334023452571266}]}"
46,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[-149.32915243006687,62.80963429960215]}",2020-01-15T00:00:00Z,Mexican,1,1,"{""Items"":[{""_id"":""251"",""Price"":32.83709255849451},{""_id"":""53"",""Price"":65.18922708914509},{""_id"":""187"",""Price"":17.59394858651412}]}"
47,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[130.62841532120416,-46.23536720916461]}",2020-01-15T00:00:00Z,Mexican,3,1,"{""Items"":[{""_id"":""175"",""Price"":102.21605248546975},{""_id"":""59"",""Price"":114.55126286508877},{""_id"":""298"",""Price"":89.33971290820664},{""_id"":""191"",""Price"":109.67187592766443},{""_id"":""12"",""Price"":96.12826076201084},{""_id"":""222"",""Price"":79.97545910676243},{""_id"":""93"",""Price"":140.43078481261313}]}"
48,Sushi Zen,"{""LocType"":""Point"",""Coordinates"":[-53.151289387073646,-89.69692544096645]}",2020-01-15T00:00:00Z,Japanese,3,1,"{""Items"":[{""_id"":""218"",""Price"":67.0231746250642},{""_id"":""207"",""Price"":85.16301532312302},{""_id"":""179"",""Price"":131.34034194387732}]}"
49,Pizza Mania,"{""LocType"":""Point"",""Coordinates"":[-84.64737752255014,53.58904110998188]}",2020-01-15T00:00:00Z,Japanese,4,1,"{""Items"":[{""_id"":""34"",""Price"":142.0904720684903},{""_id"":""243"",""Price"":31.119213204678363},{""_id"":""171"",""Price"":37.08015104479201},{""_id"":""148"",""Price"":2.429819044769006},{""_id"":""190"",""Price"":127.6805692807605},{""_id"":""281"",""Price"":1.132459371517517}]}"
50,Taco Fiesta,"{""LocType"":""Point"",""Coordinates"":[44.32380021648879,-29.79546208892974]}",2018-03-22T00:00:00Z,American,1,1,"{""Items"":[{""_id"":""192"",""Price"":115.89702864090329}]}"
